Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
762,Crónica de una muerte anunciada,Gabriel García Márquez,"Márquez, Gabriel García",,"=""1400034957""","=""9781400034956""",0,3.97,Vintage Español,Paperback,118,2003,1981,,2025/02/08,currently-reading,currently-reading (#11),currently-reading,,,,1,0
6484266,Hacia rutas salvajes,Jon Krakauer,"Krakauer, Jon",Albert Freixa i Vidal,"=""8498721628""","=""9788498721621""",3,4.02,ZETA BOLSILLO,Hardcover,288,2009,1996,2026/03/10,2026/01/01,,,read,,,,1,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",3,4.15,Crown Currency,Hardcover,195,2014,2014,,2026/01/03,,,read,,,,2,0
235993074,The Best Dog in the World: Essays on Love,Alice Hoffman,"Hoffman, Alice",,"=""1668209020""","=""9781668209028""",0,4.54,Scribner,Hardcover,240,2026,2026,,2026/02/22,to-read,to-read (#32),to-read,,,,0,0
216351768,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,"Robbins, Mel",,"=""1401971377""","=""9781401971373""",0,4.02,Hay House LLC,Kindle Edition,311,2024,2024,,2026/02/22,to-read,to-read (#31),to-read,,,,0,0
11019333,Wuthering Heights,Emily Brontë,"Brontë, Emily",,"=""""","=""""",0,3.90,Amazon Digital Services,Kindle Edition,400,2011,1847,,2026/02/22,to-read,to-read (#30),to-read,,,,0,0
7126,The Count of Monte Cristo,Alexandre Dumas,"Dumas, Alexandre",Robin Buss,"=""0140449264""","=""9780140449266""",0,4.33,Penguin Classics,Paperback,1276,2003,1844,,2026/02/22,to-read,to-read (#29),to-read,,,,0,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",0,4.17,"Farrar, Straus and Giroux",Hardcover,245,2021,2021,,2026/02/22,to-read,to-read (#28),to-read,,,,0,0
125187,El desierto de los tártaros,Dino Buzzati,"Buzzati, Dino",Esther Benítez,"=""9873797505""","=""9789873797507""",5,4.21,Alianza Editorial,Paperback,267,2020,1940,2026/01/26,2026/01/01,,,read,,,,1,0
1836303,El extranjero,Albert Camus,"Camus, Albert",José Ángel Valente,"=""""","=""""",0,4.03,Alianza Editorial,Unknown Binding,124,1999,1942,,2026/01/15,to-read,to-read (#27),to-read,,,,0,0
9701494,El elemento,Ken Robinson,"Robinson, Ken",,"=""8425345073""","=""9788425345074""",0,3.86,Random House Mondadori,ebook,0,2010,2009,,2026/01/15,to-read,to-read (#26),to-read,,,,0,0
3284191,El viejo y el mar,Ernest Hemingway,"Hemingway, Ernest",,"=""9586140873""","=""9789586140874""",0,3.81,Planeta ,Paperback,147,1985,1952,,2026/01/15,to-read,to-read (#25),to-read,,,,0,0
35918692,Los hermanos Karamázov,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""6071420989""","=""9786071420985""",0,4.39,MIRLO,Paperback,608,2016,1880,,2026/01/01,to-read,to-read (#24),to-read,,,,0,0
836159,Ana Karenina,Leo Tolstoy,"Tolstoy, Leo",,"=""956131388X""","=""9789561313880""",0,4.10,Editorial Andrés Bello,Paperback,748,1996,1878,,2026/01/01,to-read,to-read (#23),to-read,,,,0,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",5,4.08,Transit Books,Paperback,184,2022,1995,2025/12/27,2025/12/27,,,read,,,,1,0
15918663,Nada se opone a la noche,Delphine de Vigan,"Vigan, Delphine de",,"=""843397842X""","=""9788433978424""",0,4.35,Anagrama,Paperback,376,2012,2011,,2025/08/23,currently-reading,currently-reading (#10),currently-reading,,,,1,0
15925,The Guardian,Nicholas Sparks,"Sparks, Nicholas",,"=""0446696110""","=""9780446696111""",4,4.16, -----,Hardcover,224,2003,2003,,2025/08/23,,,read,,,,1,0
45497,El alquimista,Paulo Coelho,"Coelho, Paulo",,"=""970051336X""","=""9789700513362""",5,3.92,Grijalbo,Paperback,203,2001,1988,2025/11/18,2025/08/23,,,read,,,,1,0
97142243,Fortuna,Hernan Diaz,"Diaz, Hernan",Javier Calvo,"=""8433901923""","=""9788433918451""",5,3.80,Anagrama,Kindle Edition,440,2023,2022,2025/11/01,2025/06/08,,,read,,,,1,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.00,Penguin Press,Hardcover,246,2019,2019,,2025/09/14,currently-reading,currently-reading (#9),currently-reading,,,,1,0
17567272,La ridícula idea de no volver a verte,Rosa Montero,"Montero, Rosa",,"=""8432215481""","=""9788432215483""",0,4.08,Seix Barral,Paperback,240,2013,2013,,2025/09/13,to-read,to-read (#22),to-read,,,,0,0
1628287,Noches blancas,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,"=""9580471509""","=""9789580471509""",5,4.07,Eneida,Paperback,84,2013,1848,2025/09/03,2024/07/09,,,read,,,,1,0
55710822,"Better Than the Movies (Better Than the Movies, #1)",Lynn Painter,"Painter, Lynn",,"=""1534467629""","=""9781534467620""",4,4.25,Simon & Schuster Books for Young Readers,Hardcover,356,2021,2021,2025/09/01,2025/08/30,,,read,,,,1,0
3051050,La vida privada de los árboles,Alejandro Zambra,"Zambra, Alejandro",,"=""8433971549""","=""9788433971548""",0,3.74,Anagrama,Paperback,128,2007,2007,,2025/09/01,to-read,to-read (#21),to-read,,,,0,0
62047984,Yellowface,R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",3,3.72,William Morrow,Paperback,319,2023,2023,2025/08/30,2024/12/08,,,read,,,,1,0
2704427,El mito de Sísifo,Albert Camus,"Camus, Albert",Esther Benítez,"=""8420636975""","=""9788420636979""",0,4.17,Alianza Editorial,Paperback,179,1999,1942,,2025/08/23,to-read,to-read (#20),to-read,,,,0,0
145445,El teorema,Adam Fawer,"Fawer, Adam",,"=""8408060961""","=""9788408060963""",0,4.15,Editorial Planeta,Hardcover,400,2005,2005,,2025/08/23,to-read,to-read (#19),to-read,,,,0,0
206197535,La península de las casas vacías,David Uclés,"Uclés, David",,"=""8419942316""","=""9788419942319""",0,4.12,Siruela,Paperback,700,2024,2024,,2025/08/04,currently-reading,currently-reading (#8),currently-reading,,,,1,0
40740914,If Cats Disappeared from the World,Genki Kawamura,"Kawamura, Genki",Eric Selland,"=""1509889175""","=""9781509889174""",3,3.79,Picador,Paperback,202,2018,2012,2025/08/04,2025/07/24,,,read,,,,1,0
60556912,"The Housemaid (The Housemaid, #1)",Freida McFadden,"McFadden, Freida",,"=""1803144378""","=""9781803144375""",4,4.27,Bookouture,Kindle Edition,329,2022,2022,2025/07/24,2025/07/10,,,read,,,,1,0
220483916,Victoria,Paloma Sánchez-Garnica,"Sánchez-Garnica, Paloma",,"=""840829816X""","=""9788408298168""",0,4.31,Editorial Planeta,Kindle Edition,477,2024,2024,,2025/07/20,to-read,to-read (#18),to-read,,,,0,0
205636254,Dorayaki,Durian Sukegawa,"Sukegawa, Durian",Amalia Sato,"=""6319005041""","=""9786319005042""",5,4.05,Chai Editora,Paperback,200,2024,2013,2025/06/05,2025/03/30,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",5,4.17,Celadon Books,Hardcover,336,2019,2019,2023/09/23,2023/01/21,,,read,"Buen plot twist, se lee de corrido",,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",5,3.65,Picador,Paperback,213,2019,2015,2023/06/22,2023/01/21,,,read,Lo terminé llorando en el subte. 10/10,,,1,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",3,3.81,Crown,Hardcover,273,2019,2018,2022/09/16,2023/01/21,,,read,Predecible y aburrido,,,1,0
53347047,Qué harías si no tuvieras miedo: Claves para reinventarte profesionalmente y prosperar en la nueva era,Borja Vilaseca,"Vilaseca, Borja",,"=""8466355162""","=""9788466355162""",4,3.88,DEBOLSILLO,Mass Market Paperback,272,2022,2013,2024/04/28,2024/04/06,,,read,,,,1,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",4,4.30,Modern Library,Paperback,279,2023,1813,2023/03/04,2023/01/21,,,read,MUY difícil de leer,,,1,0
139009,Los ojos del perro siberiano,Antonio Santa Ana,"Ana, Antonio Santa",,"=""9580443912""","=""9789580443919""",4,4.17,Norma S A Editorial,Paperback,135,1998,1998,2021/08/08,2021/08/08,,,read,Must read,,,1,0
32498119,"The Secret Life of the Mind: How Your Brain Thinks, Feels, and Decides",Mariano Sigman,"Sigman, Mariano",,"=""0316549622""","=""9780316549622""",2,4.00,"Little, Brown Spark",Hardcover,277,2017,2015,2023/04/18,2023/01/21,,,read,Esperaba otra cosa,,,1,0
45028173,Hábitos atómicos,James Clear,"Clear, James",,"=""6077476722""","=""9786077476726""",4,4.32,Paidos México,Kindle Edition,339,2019,2018,2023/01/25,2023/01/21,,,read,,,,1,0
45479254,Ella no está,Joy Fielding,"Fielding, Joy",,"=""8416517223""","=""9788416517220""",0,3.89,Umbriel,Paperback,384,2019,2016,2021/08/08,2021/08/08,,,read,,,,1,0
223905891,López López,Tomás Downey,"Downey, Tomás",,"=""8412888952""","=""9788412888959""",4,4.02,Fiordo Editorial,Paperback,184,2025,,2025/05/21,2025/04/12,,,read,,,,1,0
108519861,El viento conoce mi nombre,Isabel Allende,"Allende, Isabel",,"=""8401032008""","=""9788401032004""",4,4.01,Plaza & Janés,Hardcover,348,2023,2023,2025/05/04,2025/05/04,,,read,,,,1,0
49185482,Esa locura llamada amor,Nuria Rivera,"Rivera, Nuria",,"=""8417664815""","=""9788417664817""",3,3.63,Vergara,Paperback,336,2020,,2025/05/04,2025/05/02,,,read,,,,1,0
56591408,Las gratitudes,Delphine de Vigan,"Vigan, Delphine de",Pablo Martín Sánchez,"=""8433980831""","=""9788433980830""",4,4.34,Anagrama,Paperback,176,2021,2019,2025/04/30,2025/04/17,,,read,,,,1,0
50752940,Teoría de la gravedad,Leila Guerriero,"Guerriero, Leila",,"=""8417007997""","=""9788417007997""",4,4.33,Libros del Asteroide,Paperback,212,2019,,2025/04/27,2025/03/29,,,read,,,,1,0
54304287,The Founders: The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,Jimmy Soni,"Soni, Jimmy",,"=""1501197266""","=""9781501197260""",0,4.23,Simon & Schuster,Hardcover,496,2022,2022,,2025/04/10,currently-reading,currently-reading (#7),currently-reading,,,,1,0
205226950,El primer café del día,Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",,"=""6073840144""","=""9786073840149""",4,3.88,PLAZA & JANES,Paperback,272,2024,2018,2025/04/09,2024/04/17,,,read,,,,1,0
203982344,La llamada: Un retrato,Leila Guerriero,"Guerriero, Leila",,"=""8433922068""","=""9788433922069""",0,4.40,Editorial Anagrama,Paperback,432,2024,2024,,2025/03/29,to-read,to-read (#17),to-read,,,,0,0
57398262,Los nombres propios,Marta Jiménez Serrano,"Serrano, Marta Jiménez",,"=""8418342250""","=""9788418342257""",0,4.28,Editorial Sexto Piso,Paperback,236,2021,2021,,2025/03/29,to-read,to-read (#16),to-read,,,,0,0
50272339,Poeta chileno,Alejandro Zambra,"Zambra, Alejandro",,"=""8433998935""","=""9788433998934""",4,4.35,Anagrama,Paperback,421,2020,2020,2025/03/11,2025/02/05,,,read,,,,1,0
52324086,Confesión,Martín Kohan,"Kohan, Martín",,"=""8433998994""","=""9788433998996""",3,3.93,Anagrama,Paperback,200,2020,2020,2025/02/28,2025/02/25,,,read,La primera parte podrían haber sido 50 hojas menos. La segunda y tercera parte muy buenas.  <br/>,,,1,0
62201922,Los reyes de la casa,Delphine de Vigan,"Vigan, Delphine de",Pablo Martín Sánchez,"=""8433981269""","=""9788433981264""",5,3.93,Anagrama,Paperback,344,2022,2021,2025/02/25,2025/02/23,,,read,,,,1,0
22533436,El brillo de las luciérnagas,Paul Pen,"Pen, Paul",,"=""8490328226""","=""9788490328224""",2,3.72,DEBOLS!LLO,Paperback,368,2014,2013,2025/02/23,2025/02/08,,,read,La idea estaba bien y es muy atrapante pero no me gustó el final para nada ,,,1,0
39330921,Conversaciones entre amigos,Sally Rooney,"Rooney, Sally",Ana García Casadesús,"=""""","=""""",3,3.73,Literatura Random House,Paperback,336,2018,2017,2025/02/08,2023/01/21,,,read,,,,1,0
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",0,3.96,"Little, Brown",Hardcover,771,2013,2013,,2023/01/21,currently-reading,currently-reading (#6),currently-reading,,,,1,0
45487462,Cometierra,Dolores Reyes,"Reyes, Dolores",,"=""9874063653""","=""9789874063656""",3,3.63,Sigilo,Paperback,176,2019,2019,2024/12/08,2024/12/08,,,read,,,,1,0
51901147,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",0,3.99,Scholastic Press,Kindle Edition,652,2020,2020,,2024/12/08,to-read,to-read (#15),to-read,,,,0,0
34912895,The Great Alone,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",0,4.46,St. Martin's Press,Kindle Edition,435,2018,2018,,2024/12/08,to-read,to-read (#14),to-read,,,,0,0
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",0,4.31,Scribner,Hardcover,531,2014,2014,,2024/12/08,to-read,to-read (#13),to-read,,,,0,0
